Date,Open,Close,Low,High,Daily_Vol_10e8
2012/01/02,5,5,5,5,1904800000
2012/01/03,5,5.29,5,5.32,8803728092
2012/01/04,5.29,5.57,4.93,5.57,10723326023
2012/01/05,5.57,6.65,5.57,6.65,9480182926
2012/01/06,6.65,6,6,6.9,3388274671
2012/01/07,6,6.8,6,6.8,29585799
2012/01/08,6.8,7,6.8,7,500000000
2012/01/09,7,6.3,6.23,7,6686932290
2012/01/10,6.3,7.14,6.24,7.14,6228998018
2012/01/11,7.14,7,6.25,7.33,10535893402
2012/01/12,7,6.51,6.51,7.38,8230163181
2012/01/13,6.51,6.6,6.51,7.36,4897014484
2012/01/14,6.6,6.3,6.3,6.6,1683600000
2012/01/15,6.3,7.15,6.3,7.15,1669930070
2012/01/16,7.15,7.1,6.2,7.15,1264929577
2012/01/17,7.1,6,6,7.1,8051400824
2012/01/18,6,7.1,5.99,7.1,13344676912
2012/01/19,7.1,6.22,5.52,7.1,24671581895
2012/01/20,6.22,6.95,6.22,6.95,9582599863
2012/01/21,6.95,6.77,6.28,6.95,8141385241
2012/01/22,6.77,6.79,6.03,6.83,8127103303
2012/01/23,6.79,6.52,6,6.79,9492062909
2012/01/24,6.52,6.55,6,6.57,8544624147
2012/01/25,6.55,6.31,6,6.86,8112325640
2012/01/26,6.31,5.5,5.5,6.31,2991907058
2012/01/27,5.5,5.88,3.8,6.03,9207999287
2012/01/28,5.88,4.91,4.91,5.88,25000000
2012/01/29,4.91,5.5,4.91,5.9,945484643
2012/01/30,5.5,5.58,5.3,5.58,1516000000
2012/01/31,5.58,5.3,3.8,6.22,11050333334
2012/02/01,5.3,5.88,5.3,5.99,1205880628
2012/02/02,5.88,6.28,5.88,6.28,25100093001
2012/02/03,6.28,6.3,5.93,6.35,15555245320
2012/02/04,6.3,5.94,5.94,6.5,6763499409
2012/02/05,5.94,5.6,5.6,6.15,4785042396
2012/02/06,5.6,5.6,5.2,5.9,2917833833
2012/02/07,5.6,5.69,5.5,5.88,16540541896
2012/02/08,5.69,5.87,5.66,5.87,8357202011
2012/02/09,5.87,5.89,5.51,5.89,8360318875
2012/02/10,5.89,5.88,5.8,5.89,17693050375
2012/02/11,5.88,5.5,5.5,5.88,187948780
2012/02/12,5.5,5.67,5.5,5.78,6484343240
2012/02/13,5.67,5.79,5.5,5.79,9978443902
2012/02/14,5.79,4.89,4.56,5.8,12834493428
2012/02/15,4.89,4.69,4.69,5.08,6778916535
2012/02/16,4.69,4.51,4.15,4.98,11562392130
2012/02/17,4.51,4.67,4.5,4.8,24467028923
2012/02/18,4.67,4.23,4.14,4.73,25439025201
2012/02/19,4.23,4.38,4.23,4.38,9268354434
2012/02/20,4.38,4.44,4.38,4.72,31593925361
2012/02/21,4.44,4.58,4.3,4.58,35844920149
2012/02/22,4.58,4.51,4.46,4.59,7530876636
2012/02/23,4.51,5.22,4.51,5.22,71484400933
2012/02/24,5.22,4.95,4.95,5.22,3759711782
2012/02/25,4.95,5,4.95,5.11,11980740151
2012/02/26,5,4.98,4.78,5.07,4090000000
2012/02/27,4.98,5.04,4.95,5.1,30905231411
2012/02/28,5.04,4.88,4.71,5.1,44024138707
2012/02/29,4.88,4.99,4.85,5,24223784635
2012/03/01,4.99,5,4.9,5.05,29116358119
2012/03/02,5,4.79,4.64,5,24597471171
2012/03/03,4.79,4.65,4.6,4.99,12591831514
2012/03/04,4.65,4.81,4.65,4.81,11360841530
2012/03/05,4.81,5.06,4.77,5.06,51805455153
2012/03/06,5.06,4.98,4.95,5.06,29662794242
2012/03/07,4.98,4.93,4.93,5.09,37349234495
2012/03/08,4.93,5.01,4.87,5.08,32656575490
2012/03/09,5.01,4.93,4.93,5.07,27758947934
2012/03/10,4.93,4.94,4.85,4.99,11404892826
